挨拶,[あいさつ],①,19.1,"【自动词·サ变/三类】
1.寒暄语，与人见面或分别等时的寒暄及其礼貌动作。打招呼。
2.贺辞或谢辞。
3.回答，回话。
4.对对方的态度表示无可奈何时讥讽的说法。
5.（对争议的）仲裁，调解，斡旋。
","2人は初対面の挨拶を交した。
两人初次见面互相致意问好。",19.2
愛児1,[あいじ],①,20.1,"【名词】
1.爱儿;爱子
",,
愛着1,[あいじゃく],◎,21.1,"【自动词·サ变/三类】
1.留恋，依依难舍，恋恋不能忘怀。
",,
愛着2,[あいちゃく],◎,22.1,"【名·自动词·サ变/三类】
1.留恋，依依难舍，恋恋不能忘怀。
","私はこの仕事に深い愛着を持っている。
我对这项工作有很深的感情。",22.2
哀愁,[あいしゅう],◎,23.1,"【名词】
1.哀愁，悲哀。
",,
愛称,[あいしょう],◎,24.1,"【名词】
1.爱称，昵称。
",,
相性1,[あいしょう],③,25.1,"【名词】
1.缘份；性格相合。
",,
愛情,[あいじょう],◎,26.1,"【名词】
1.爱情，爱恋之情。恋慕异性的心情。
2.爱心。从心里觉得某人或某物很重要、很宝贵的心情，慈爱（怜爱、疼爱）的心情。
","両親の愛情を一身に受けて成長した。
在双亲的疼爱下长大成人。",26.2
愛人,[あいじん],◎,27.1,"【名词】
1.情人。（愛する人。情婦·情夫。）
2.重视人类。（人を愛すること。）
",,
合図,[あいず],①,28.1,"【名·自他·サ变/三类】
1.信号。暗号。用预先约定好的方法将意见或事情通知给对方，亦指其方法或信号。
","目で合図をする。
递眼色。",28.2
愛する,[あいする],③,29.1,"【他动词·サ变/三类】
1.爱，热爱；慈爱；敬爱；珍爱；爱护。
2.爱，恋，有爱情。
3.爱好，喜好，喜爱。
","子を愛する。
爱孩子。",29.2
愛惜,[あいせき],◎,30.1,"【名·他动词·サ变/三类】
1.爱惜，珍爱，爱不释手。
","愛惜の念。
爱惜之心。",30.2
愛想1,[あいそ],③,31.1,"【名词】
1.亲切，和蔼。
2.招待，款待。
3.顾客付的钱。
","彼女は誰にでも愛想がよい。
她对谁都和和气气。",31.2
愛想2,[あいそう],③,32.1,"【名词】
1.亲切，和蔼'。（人に対する応対の仕方。好感を持たれる言葉遣い、表情、態度など。）
2.招待，款待。（人を喜ばせるための言葉や振る舞い。）
3.顾客付的钱。（飲食店などの勘定。勘定書。）
4.《常用惯用语》
",,
間1,[あいだ],◎,33.1,"【名词】
1.间隔，距离；中间；期间；关系；空隙。
","東京から大阪までの間の都市。
从东京到大阪之间的城市。",33.2
間3,[ま],◎,34.1,"【名词】
1.空隙，空当子『口』；物与物之间空开的空间。（物と物の間の空間。）
2.房间，间。房屋内的一个间隔。（家屋内の一区切り。）
3.工夫，时间。（事と事とのあいだの時間。）
4.休止，板眼。音乐，舞蹈，戏剧中等，拍子与拍子空开的时间间隔。（音楽、舞踊、演劇などで、拍と拍の間の時間の間隔。）
5.（適当な時機。機会。潮時。）
6.当时的情形，氛围。（その場の具合。雰囲気。）
【接头/接尾】
1.间。计数房间的量词。（部屋の数を数える語。）
2.《相关惯用句》
","間を置いて話す。
断断续续地谈。",34.2
間柄,[あいだがら],◎,35.1,"【名词】
1.交际。
2.联系。
","親子の間柄。
父子关系。",35.2
哀調,[あいちょう],◎,36.1,"【名词】
1.悲调。（物悲しい調子。）
","哀調を帯びた曲。
凄凉悲伤的曲子。",36.2
相槌,[あいづち],◎或③,37.1,"【名词】
1.建筑用的大锤（建築用に使う大きな槌）
2.（打刀等时徒弟为师傅）打帮锤，两人打对锤。（鍛冶で、師匠の打つ鎚に合わせて弟子が鎚を入れること）
3.帮腔，随声附和（相手の話に調子を合わせてする応答）
",,
相手,[あいて],③,38.1,"【名词】
1.伙伴；共事者。（一緒にする人。相棒。仲間。）
2.对方；对手，敌手。（争いなどで、対抗する人。また、対抗すること。）
3.对象。（働きかける対象。）
4.合伙人
","ダンスの相手をする。
做舞伴。",38.2
哀悼,[あいとう],◎,39.1,"【名·他动词·サ变/三类】
1.哀悼；吊唁。
2.哀悼，吊唁，哀惜。
","哀悼の辞を述べる。
致悼词。",39.2
愛読,[あいどく],◎,40.1,"【名·他动词·サ变/三类】
1.爱读，喜欢读。（好んで読むこと。）
","愛読書。
爱读的书。",40.2
生憎,[あいにく],◎,41.1,"【副词】
1.不凑巧，不合时机。
【形容动词/ナ形容词】
1.不凑巧，扫兴。实际情况与期望或目标不符，很不顺的样子。
","わざわざ訪ねたのに生憎彼は留守だった。
特意去拜访，可是不巧他不在家。",41.2
愛撫,[あいぶ],①,42.1,"【名·他动词·サ变/三类】
1.爱抚，抚爱。（いとしんで、なでたりさすったりすること。）
","赤ん坊を愛撫する。
爱抚婴孩。",42.2
愛慕,[あいぼ],①,43.1,"【名词】
1.【他动·三类】 ;爱慕。（愛して、懐かしみ慕うこと。）
","愛慕の情。
爱慕之情。",43.2
曖昧,[あいまい],◎,44.1,"【形容动词/ナ形容词】
1.含糊，可疑。
","曖昧な返事。
模棱两可的回答。",44.2
愛用,[あいよう],◎,45.1,"【名词】
1.【他サ】 ;爱用，喜欢用。（いい物と思い、いつもそれを使うこと。）
","私は国産品を愛用している。
我爱用国产品。",45.2
愛欲,[あいよく],◎或①,46.1,"【名词】
1.爱欲；情欲。（異性への性的な欲望。）
2.（佛）贪欲。（仏語。欲望に執着すること。）
","愛欲に溺れる。
沉溺于情欲。",46.2
会う,[あう],①,47.1,"【自动词·五段/一类】
1.会面，见面；偶遇，碰见。
","応接間で客と会う。
在客厅会客。",47.2
逢う,[あう],①,48.1,"【自动词·五段/一类】
1.遇见，碰见。（人と顔を合わせる。）
2.遭遇，碰上，遇到。（偶然に出くわす。）
3.同：会う｜遇う｜遭う
","道で旧友に会う。
在路上碰见老朋友。",48.2
合う,[あう],①,49.1,"【自动词·五段/一类】
1.聚，合，合而为一；合适；大小、性格、特点等一致；相配，协调，均衡；合算，不亏本；符合；互相……。
","服が体に合う。
衣服合身。",49.2
喘ぐ,[あえぐ],②,50.1,"【自动词·五段/一类】
1.喘，喘气。（せわしく呼吸する。荒い息づかいをする。）
2.挣扎，苦于。（重圧や貧困などに苦しみ悩む。）
","喘ぎながら山道を登る。
气喘吁吁地爬山坡。",50.2
敢えて,[あえて],①,51.1,"【副词】
1.敢于，硬要。
2.（后接否定式）未必，并不。
","敢えて一言いわせてもらえば…。
我斗胆说一句话…。",51.2
和える,[あえる],②,52.1,"【他动词·一段/二类】
1.拌，调制。（調理法の一つ。食材に調味料など味を加えるものを入れて混ぜ合わせることをいう。）
","ほうれん草をごまで和える。
用芝麻拌菠菜。",52.2
亜鉛,[あえん],①或◎,53.1,"【名词】
1.锌。（金属元素の一つ、記号Zn原子番号30）
",,
青い,[あおい],②,54.1,"【形容词/イ形容词】
1.青；蓝；绿。
2.（脸色）发青，苍白。
3.不成熟，幼稚。
","青い空。
蓝天。",54.2
葵,[あおい],◎,55.1,"【名词】
1.〈植〉葵。蜀葵、钱葵、槭葵等锦葵科植物的总称。（アオイ科の植物、タチアオイ·ゼニアオイ·モミジアオイなどの総称。）
2.细辛。（フタバアオイのこと。カモアオイ。）
3.《葵》。《源氏物语》中的卷名，第九贴。（源氏物語の巻名。第九帖。賀茂祭見物の車争いで六条御息所(みやすどころ)の恨みを買った葵の上は、産褥(さんじよく)をその生き霊に悩まされて急死する。）
",,
仰ぐ,[あおぐ],②,56.1,"【他动词·五段/一类】
1.仰，瞻。
2.尊为，推为。
3.仰赖，仰仗，依靠。
4.请，求。
5.请求批准。
6.饮，服。
","空を仰ぐ。
仰望天空。",56.2
扇ぐ,[あおぐ],②,57.1,"【他动词·五段/一类】
1.扇，扇动。
","うちわで火を扇ぐ。
用扇子扇火。",57.2
煽ぐ,[あおぐ],②,58.1,"【他动词·五段/一类】
1.煽风。
","うちわで火を扇ぐ。
用扇子扇火。",58.2
青臭い,[あおくさい],④,59.1,"【形容词/イ形容词】
1.有青草气味儿。（青草から発するようなにおいがする。）
2.幼稚，青涩，不老练，乳臭未干『成』。（人格や言動などが未熟である。）
","野菜ジュースは青臭い。
蔬菜汁有生青草味。",59.2
青写真,[あおじゃしん],③,60.1,"【名词】
1.蓝图。（露光により青色に発色する鉄塩類などを塗った感光紙に、原図をのせて焼き付ける複写技術。また、それで得られる青地に白の印画。）
2.（計画）初步计划。（おおよその計画。また、未来の構想。）
","設計図を青写真にとる。
把设计图晒成蓝图。",60.2
青信号,[あおしんごう],③,61.1,"【名词】
1.绿灯；一帆风顺的象征。
","青信号で道路を渡りましょう。
绿灯再过马路。",61.2
青空,[あおぞら],③,62.1,"【名词】
1.蓝天，青天，青空。（晴れ上がって、青々と見える空。）
",,
青田3,[あおた],◎,63.1,"【名词】
1.青田，青苗地，绿田。（稲の苗が生育して青々としている田。また、まだ稲の実っていない7月下旬ごろの田。）
",,
青菜,[あおな],◎或②,64.1,"【名词】
1.青菜，绿菜。（緑色の葉菜。）
","青菜に塩。
无精打采。垂头丧气。",64.2
青二才,[あおにさい],③,65.1,"【名词】
1.小屁孩，小毛孩子，黄口小儿。（年若く経験に乏しい男をののしっていう語。）
","青二才が何を言うか。
小毛孩子说什么呢。",65.2
仰向く,[あおむく],③或◎,66.1,"【自动词·五段/一类】
1.仰，向上仰。
","仰向いて天井を眺める。
仰脸望天花板。",66.2
煽り,[あおり],③,67.1,"【名词】
1.扇动，冲击。（あおること。風に吹かれて動くこと。）
2.余势，余波。（余勢。）
","爆風の煽りをくって倒れる。
被爆炸的气浪刮倒。",67.2
煽る,[あおる],②,68.1,"【自他·五段/一类】
1.吹动。
2.催动，哄（马）。
3.哄抬（行市）。
4.煽动，鼓动，激起。
","炉の火を煽る。
扇炉火。",68.2
垢,[あか],②,69.1,"【名词】
1.污垢，油泥。（老化した皮膚に汗·脂·ほこりが交って出来る汚れ。）
2.水锈，水碱。（みずあか。）
","風呂に入って垢を落す。
洗个澡去污垢。",69.2
赤,[あか],①,70.1,"【名词】
1.红，红色。
2.（酱，狗毛等的）茶色。
3.赤色分子。
【接头/接尾】
1.红……。
2.完全。
","赤はた。
红旗。",70.2
赤い,[あかい],◎,71.1,"【形容词/イ形容词】
1.红色的。
2.红色，革命，左倾。
","赤い椿の花。
红山茶花。",71.2
足掻く,[あがく],②,72.1,"【自动词·五段/一类】
1.刨地前进。（馬などが前足で地面をかく。また、そのようにして進む。）
2.挣扎，手脚乱动。（手足を振り動かしてもがく。じたばたする。活路を見いだそうとして必死になって努力する。あくせくする。）
3.焦躁，烦恼，着急。（いたずらをして暴れ回る。ふざける。）
","馬は走ろうとしてしきりにあがいている。
马想跑，直刨地。",72.2
赤字,[あかじ],◎,73.1,"【名词】
1.入不敷出，亏空，赤字。
2.红字，校正的字。
","今月は赤字になった。
本月出现了赤字。",73.2
赤信号,[あかしんごう],③,74.1,"【名词】
1.红灯，停止信号；危险信号；恐慌之兆。
",,
飽かす,[あかす],②,75.1,"【他动词·五段/一类】
1.同：厭かす
2.（用～に～して））不惜（金钱和时间）。
3.使人餍足，使人厌腻。
","彼は話上手で人を飽かさない。
他很会说话，使人爱听。",75.2
明かす,[あかす],②,76.1,"【他动词·五段/一类】
1.（秘密等）揭开，揭露；说出，说明。
2.（用「夜を～」）过夜或通宵不眠。
","手品の種を明かす。
兜戏法的底。",76.2
赤ちゃん,[あかちゃん],①,77.1,"【名词】
1.小宝宝，小宝贝，小娃娃，婴儿。
",,
暁,[あかつき],◎,78.1,"【名词】
1.拂晓；黎明。
2.事业成就之际。
","鶏が暁を告げる。
鸡鸣报晓。",78.2
明かり,[あかり],◎,79.1,"【名词】
1.光，光亮。
2.灯，灯光。
3.证据。
","ろうそくの明かり。
烛光。",79.2
上がる,[あがる],◎,80.1,"【自动词·五段/一类】
1.上；登。
2.（地位、程度、质量、价格、价值等）提高；上升。
3.发出（声音、响声）。
4.（从浴池、田地、船舶等中）出来。
5.（源自进入高一阶段之意）上学。
6.（事情）完成，结束。
7.产生；获得；课获得利益、效果、收入等。
8.（用钱）解决。
9.怯场；沉不住气。
10.（给神、佛）供上。
11.去；访问。
12.追溯，回溯。
13.（因皇宫坐落于北面）（在日本京都）向北行；上殿；进宫。
【接续词】
1.（接动词连用形后）表示动作强烈。
2.（接动词连用形后）表示完成或结束。
【他动词·五段/一类】
1.吃；喝；「飲食する」的尊敬语。
","お酒を上がりますか。
您用酒吗·",80.2
揚がる,[あがる],◎,81.1,"【自动词·五段/一类】
1.上。登。举起。升起。
2.晋级。提升。提高。
3.（用油）炸熟。炸好。
","海老が揚がった。
虾炸好了。",81.2
明るい,[あかるい],◎或③,82.1,"【形容词/イ形容词】
1.明亮。
2.明朗，快活，光明。
3.熟悉，精通。
4.颜色鲜艳的。
5.有希望的。
6.公正的，廉洁的。
","外はまだ明るい。
外头还亮。",82.2
空き,[あき],◎,83.1,"【名词】
1.空隙，空当儿，空白。
2.（闲）空，空儿，工夫。
3.空缺，空位（子），空额，缺额。
4.闲着的，没使着的（东西）。
","行間の空きをひろくとる。
行间的间隙留宽。",83.2
秋,[あき],①,84.1,"【名词】
1.秋，秋天，秋季。
",,
空き巣,[あきす],◎,85.1,"【名词】
1.入室盗窃。
2.空宅，空房子。
3.空窝。
","空き巣に入られた。
家里进了白日撞。",85.2
商う,[あきなう],③,86.1,"【他动词·五段/一类】
1.买卖，经商。
",,
明らか,[あきらか],②,87.1,"【形容动词/ナ形容词】
1.明亮。
2.清楚状；没有疑问。
3.精通学问；通晓道理。
4.明朗；开朗。
","事の真相が明らかになった。
事情真相大白。",87.2
諦める,[あきらめる],④,88.1,"【他动词·一段/二类】
1.（原为佛教语。意为把握真实、断绝贪恋）断念；死心；放弃。
","諦めるのはまだ早い。
死这份儿心还太早。",88.2
飽きる,[あきる],②,89.1,"【自动词·一段/二类】
1.够，满足，餍足，腻烦，厌烦，厌倦。
【接头/接尾】
1.〈接在动词连用形后〉……够，……腻。
","いくら好きでもこうたびたび食べると飽きてしまう。
老吃这东西，再爱吃也吃腻了。",89.2
呆れる,[あきれる],◎,90.1,"【自动词·一段/二类】
1.（因意外事）吃惊，呆若木鸡。
","われながらそそっかしいのに呆れる。
我这毛手毛脚劲儿连自己都没话可说。",90.2
空く1,[すく],◎,91.1,"【自动词·五段/一类】
1.某个空间里的人、物数量减少。
2.肚子空，肚子饿。
3.有空闲。
","汽車が空く。
火车有空座位。",91.2
空く2,[あく],◎,92.1,"【自动词·五段/一类】
1.出现空隙或者空隙变大；职位等出现空缺；有空，有空闲；原本在某处的人或者物消失不见，某处变空；用毕空置；空，闲。
","虫にくわれてセーターに穴が空いた。
毛衣被虫蛀了个洞。",92.2
悪1,[わる‐],,93.1,"【接头/接尾】
1.不好，坏。（悪い、不快である、害になるなどの意を表す）
2.过度，过分，过头，过火。（程度が過ぎている意を表す）
","悪知恵
坏主意。",93.2
悪2,[わる],①,94.1,"【名词】
1.坏事。（悪いこと）
2.坏蛋，坏家伙，坏人。（悪い者）
","たいへんな悪だ。
可了不得的坏家伙。",94.2
悪3,[あく],①或②,95.1,"【名词】
1.恶，歹，坏。（好ましくない物事。否定すべき物事）
2.〈剧〉反派角色。
3.（接头）恶，猛，悍。（畏敬の念を抱かせるほど荒々しく強い意を表す）
","悪ふざけ。
过分的淘气。恶作剧。",95.2
悪意,[あくい],①,96.1,"【名词】
1.恶意，怨恨。（他人を憎み、害を加えようとする気持ち。わるぎ。）
2.歪曲，曲解。（よくない意味。）
3.〈法〉故意，知法犯法。（法律上の効力に影響を及ぼす事情を知っていること。道徳的な意味での善悪とは異なる。）
","彼の言葉には少しも悪意がない。
他的话里丝毫没有恶意。",96.2
悪質,[あくしつ],◎,97.1,"【名·形容动词/ナ形容词·自动词·サ变/三类】
1.质量坏，粗劣。
【名·形容动词/ナ形容词】
1.恶性，性质恶劣。
","悪質な行為。
恶劣的行为。",97.2
握手,[あくしゅ],①,98.1,"【名·自动词·サ变/三类】
1.握手。
2.和好，合作，妥协。
","2人は固く握手した。
两人紧紧地握了手。",98.2
悪臭,[あくしゅう],◎,99.1,"【名词】
1.恶臭，难闻的气味。（気持ちが悪くなるような、いやなにおい。）
","悪臭を放つ。
散发恶臭。",99.2
悪習,[あくしゅう],◎,100.1,"【名词】
1.恶习，坏习惯。
","悪習に染まる。
沾染恶习。",100.2
悪循環,[あくじゅんかん],③,101.1,"【自动词·サ变/三类】
1.恶性循环。
","悪循環を断つ。
中止恶性循环。",101.2
悪性1,[あくせい],◎,102.1,"【名词】
1.（疾病）恶性；（形势）恶化。
","悪性のインフルエンザ。
恶性流行性感冒。",102.2
悪性2,[あくしょう],◎,103.1,"【名词】
1.【形动】 ;品质恶劣，品行不端，（妇女）水性杨花。（悪い性質。たちのよくないこと。また、そのさま。特に、酒色にふけりたがる性質などをいう。）
","悪性の女。
水性杨花的妇女。",103.2
あぐねる,[あぐねる],③,104.1,"【自动词·一段/二类】
1.厌烦。腻。厌倦。（物事が思いどおりに進まず、手段に困る。もてあます。あぐむ。現代では多く動詞の連用形の下に付いて用いられる。）
",,
欠伸,[あくび],◎,105.1,"【自动词·サ变/三类】
1.哈欠。在困倦、吃饱、疲劳等时，不由自主地张大嘴巴做的呼吸运动。（眠いとき、飽きたとき、疲れたときなどに、不随意に口を大きく開いて深く息を吸い、その息を短く吐き出す呼吸運動。）
","欠伸をする。
打哈欠。",105.2
あくまで,[あくまで],②或①,106.1,"【副词】
1.彻底、到底（何が何でも）
2.彻底、始终（一貫して）
","あくまで反対する
彻底反对。",106.2
悪名2,[あくめい],◎,107.1,"【名词】
1.恶名，坏名声。（悪い評判。良くないうわさ。あくみょう。）
","悪名高い。
臭名远扬。",107.2
悪用,[あくよう],◎,108.1,"【名词】
1.【他サ】 ;滥用；用于不良目的。（本来の用途とは違って、悪い目的に利用すること。）
","地位を悪用して私腹をこやす。
滥用地位中饱私囊。",108.2
明くる,[あくる],◎,109.1,"【连体词】
1.下，次，翌，第二。
","明くる朝。
翌晨。第二天早晨。",109.2
明け方,[あけがた],◎,110.1,"【名词】
1.黎明，拂晓。
",,
開ける1,[あける],◎,111.1,"【他动词·一段/二类】
1.开，打开。
2.开办；着手。
","鞄を開けて書類を取り出す。
打开皮包拿出文件。",111.2
開ける2,[はだける],③,112.1,"【自他·一段/二类】
1.（衣襟）张开。敞开。（着衣の合せ目がひらく。ひらける。）
2.开始营业。（営業を始める。営業を行う。）
","裾が開ける。
衣服的下摆张开。",112.2
開ける3,[ひらける],③,113.1,"【自动词·一段/二类】
1.拓宽，扩大；发展。
2.宽敞；开阔；敞亮。
3.开发，变为易于生活的状态。
4.（心情）舒畅，痛快。
5.开化；开明；通人情。
6.进步；进展。
","道が開ける。
道路开通。",113.2
明ける,[あける],◎,114.1,"【自动词·一段/二类】
1.明，亮。
2.过年。
3.结束，终了；满期。
","鼠が壁をかじって穴を明けた。
耗子把墙咬了个洞。",114.2
空ける,[あける],◎,115.1,"【自他·一段/二类】
1.挖。
2.空开。
3.空出；倒出；腾出。
4.留出工夫；腾出身子。
","鼠が壁をかじって穴を空けた。
耗子把墙咬了个洞。",115.2
挙げる,[あげる],◎,116.1,"【他动词·一段/二类】
1.竭尽全部。
2.尽力。
3.扬名。
4.举例。
5.举行仪式。
6.举证。
7.逮捕。
8.开始战争。
","彼は優勝して名を挙げた。
他获得冠军扬了名。",116.2
上げる,[あげる],◎,117.1,"【自动词·一段/二类】
1.潮水上涨。
【他动词·一段/二类】
1.举起，使升高。
2.抬起，扬起。
3.提高，改善，进步。
4.得到，产生效果。
5.使上学，提升级别。
6.做完，建成。
7.对付过去，够用。
8.呕吐。
9.给神明上供。
【接续词】
1.接在て的下面，表示该动作对于接受者来说将是一种好处。
【接头/接尾】
1.（接在其他动词的连用形下）完全……，彻底……。
2.（接在其他动词的连用形下）做完……，完成……。
3.（接在其他动词的连用形下）清楚地……，明确地……。
4.（接在其他动词的连用形下）表示对动作接受者的尊敬之意。
",,
揚げる,[あげる],◎,118.1,"【自他·一段/二类】
1.放，悬。
2.起。
3.（油）炸。
4.招，叫。
","船荷を揚げる。
卸船上的货。",118.2
顎,[あご],②,119.1,"【名词】
1.下巴，下颚，钓鱼钩的倒须。
","上（うわ）あご。
上颌。",119.2
憧れる,[あこがれる],◎,120.1,"【自动词·一段/二类】
1.憧憬，向往。
","彼は海に憧れて船乗りになった。
他向往海洋当了海员。",120.2
朝1,[あさ],①,121.1,"【名词】
1.朝，早晨。（日の出からの数時間。）
2.早上；午前。（午前。）
3.『比較』“早晨”は夜明けから8朝9時までの早朝.ときに夜12時から昼12時までもさす。“早上”は広く朝をいう。
","今日は朝早くから客があった。
今天一早就来了客人。",121.2
朝2,[あした],③,122.1,"【名词】
1.朝，早晨。（あさ。）
2.第二天早上。（翌朝。）
",,
朝3,[ちょう],①,123.1,"【名词】
1.朝廷。（朝廷。）
2.朝，王朝，朝代。（王朝。）
3.治世。（ひとりの君主の代。）
4.君主国。（国。）
5.朝，政府。（政界。）
","朝を廃する。
废朝。",123.2
麻,[あさ],②,124.1,"【名词】
1.麻（大麻、苎麻、黄麻、亚麻等的总称）。大麻。
2.麻纤维。麻纱。麻布，夏布。
",,
痣,[あざ],②,125.1,"【名词】
1.痣。（ほくろ、こぶなどの総称。）
2.（被打出来的）青斑，红斑，紫斑。（打ぼくによるあざ。）
","ひどくなぐられて全身痣だらけになった。
被毒打得青一块紫一块。",125.2
浅い,[あさい],◎,126.1,"【形容词/イ形容词】
1.浅的。自口部至底部或深处的距离短。
2.（事物的程度、度数等）小的，低的，微少的。
3.色淡的，色浅的。
4.浅薄的，肤浅的。
","浅い海。
浅海。",126.2
嘲る,[あざける],③,127.1,"【他动词·五段/一类】
1.嘲笑，嘲弄。
",,
明後日1,[あさって],②,128.1,"【名词】
1.后天（あすの次の日。みょうごにち）。
",,
明後日2,[みょうごにち],③,129.1,"【名词】
1.后日，后天（明日の次の日。あさって）。
",,
朝寝坊,[あさねぼう],③,130.1,"【名·自动词·サ变/三类】
1.睡懒觉（的人）。
","彼は朝寝坊だ。
他爱睡早觉。",130.2
朝晩,[あさばん],①,131.1,"【名词·副词】
1.早晚；日夜，经常。
","朝晩はめっきり涼しくなった。
早晩凉快多了。",131.2
朝日,[あさひ],①,132.1,"【名词】
1.朝阳，旭日，晨曦。早晨升起的太阳，亦指其阳光。
2.朝日苹果。苹果的一个品种。
","朝日がのぼる。
旭日东升。",132.2
浅ましい,[あさましい],④,133.1,"【形容词/イ形容词】
1.卑鄙，下流。
2.可耻，可叹。
3.可怜，凄惨。
","人の物に手を出すとは浅ましい。
偷人家的东西，真卑鄙无耻。",133.2
欺く,[あざむく],③,134.1,"【他动词·五段/一类】
1.欺骗。
2.赛过，超过。
","人を欺いて金をとる。
骗人诈钱。",134.2
鮮やか,[あざやか],②,135.1,"【形容动词/ナ形容词】
1.鲜明，色、形美而清晰。
2.巧妙，精湛，优美。
","鮮やかな色。
鲜艳的颜色。",135.2
足1,[そく],①,136.1,"【接头/接尾】
1.双。（足などにつける一対のものを数える語。）
","靴３足。
三双鞋。",136.2
足2,[あし],②,137.1,"【名词】
1.脚。
2.腿。
3.脚步；步行。
4.交通工具。
5.去，来，来往。
6.进度。
","足の甲。
脚面。脚背。",137.2
葦1,[あし],①,138.1,"【名词】
1.芦苇。（イネ科の多年草。根茎は地中をはい、沼や川の岸に大群落をつくる。高さは2～3メートルになり、茎は堅く、円柱形で、細長い葉が互生する。）
2.同：芦
",,
味1,[あじ],◎,139.1,"【名词】
1.味，味道；趣味；妙处；甜头，便宜；滋味。
","味がいい。
味道好。",139.2
足跡1,[あしあと],③,140.1,"【名词】
1.足迹，脚印。
2.行踪。
3.业绩。
","雪の上に足跡を残す。
雪地上留下脚印。",140.2
足跡2,[そくせき],◎,141.1,"【名词】
1.足迹。（足がちに記したあと。）
2.成就，业绩。（行為のあと。）
","山野に足跡を印する。
在山野上留下足迹。",141.2
足音,[あしおと],③或④,142.1,"【名词】
1.脚步声。
","春の足音。
春天的气息。",142.2
