word,class,kana,translation,pronu,example
アクセス,名，自动3,アクセス,访问，连接，存取，通道,①,人気サイトにアクセスする
あくび,名,あくび,哈欠,◎,あくびが出る
悪魔,名,あくま,恶魔，魔鬼,①,悪魔のしわざ
あくまで,副,あくまで,无论如何也，彻底地,②/①,あくまで反対だ
明くる,连体,あくる,下一个，第二个，次,◎,明くる日
明け方,名,あけがた,黎明，拂晓，天亮时分,◎,明け方まで勉強する
空ける,他动2,あける,空出，抽空，不在家,◎,席を空ける
憧れ,名,あこがれ,憧憬，向往,◎,憧れの名門校
憧れる,自动2,あこがれる,憧憬，向往,◎,アイドルに憧れる
朝飯,名,あさめし,早饭,◎,朝飯はパンで済ます
朝夕,名,あさゆう,早晨和晚上，朝夕，终日,①,朝夕考えていること
足跡,名,あしあと,足迹，踪迹,③,警察が犯人の足跡を追っている
味わう,他动1,あじわう,品尝，鉴赏，经历,③/◎,名作を味わう
暖か,na形,あたたか,温的，暖和的，温馨的，热情的,③/②,暖かな日差し
悪化,名，自动3,あっか,恶化，变差,◎,国際情勢が悪化する
厚かましい,i形,あつかましい,不客气的，厚颜无耻的,⑤,厚かましいお願いですが
圧縮,名，他动3,あっしゅく,压缩，压榨，缩短，缩减,◎,気体を圧縮する
アップ,名，自他动3,アップ,上涨，上升，提高,①,レベルがアップする
圧力,名,あつりょく,压力,②,圧力計
～宛て,接尾,～あて,寄往...，送往...,null,鈴木さん宛て
当てはまる,自动1,あてはまる,符合条件，相匹配,④,条件に当てはまる
当てはめる,他动2,あてはめる,适用，使符合,④,実際の状況に当てはめる
当てる,他动2,あてる,打中，碰上，贴紧，中奖,◎,一等賞を当てる
跡,名,あと,踪迹，足迹，痕迹，行踪,①,車輪の跡が残る
後片付け,名，他动3,あとかたづけ,整理，善后,③,会場の後片付けをする
穴,名,あな,洞穴，破洞，缺点，损失,②,針の穴
暴れる,自动2,あばれる,胡闹，大显身手,◎,酔って暴れる
浴びる,他动2,あびる,淋，淋浴，照晒，遭受,◎,シャワーを浴びる
脂,名,あぶら,脂肪，油脂,◎,脂が乗る
炙る,他动1,あぶる,烧，烤，靠近火源取暖,②,海苔を炙る
アポイント,名,アポイント,约定，约会,①,事前にアポイントをとっておく
アマ,名,アマ,外行，业余爱好者,①,アマスポーツ
雨戸,名,あまど,防雨门，护窗板,②,雨戸を開ける
甘やかす,他动1,あまやかす,宠，惯，骄纵,◎/④,子供を甘やかす
あまり,名，na形，副,あまり,残余，因过于...而...，（不）怎么，（不）太,◎,あまりが出る
,,,,,　 
